title,follower_numbers,total_price,unit_price,build_time,region,house_type,floor,house_area,house_type_structure,inside_area,building_type,orientation,building_structure,decoration,users/elevator,elevator,listing_time,transaction_ownership,last_transaction_time,house_use,house_years,ownership,mortgage_info,room_spare_parts,house_verification_code,house_label
品牌开发商，品牌物业，小区环境好。,12,239.89,27898,2017,江汉,3室2厅1厨1卫,中楼层 (共42层),85.99㎡,平层,暂无数据,塔楼,南,钢混结构,精装,四梯八户,有,2021-05-07,商品房,2019-05-10,普通住宅,满两年,共有,有抵押 70万元 建设银行 客户偿还,已上传房本照片,20210514pcRdk,"地铁,VR看装修,房本满两年,随时看房"
南湖畔，不临高架不临马路，小区中间位置，随时看房,14,248.0,18850,2014,洪山,3室2厅1厨2卫,低楼层 (共31层),131.57㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,两梯四户,有,2021-05-12,商品房,2019-01-09,普通住宅,满两年,非共有,无抵押,已上传房本照片,"
20210511eQOUp ","VR看装修,房本满两年,随时看房"
通透户型次顶楼采光好，业主诚心出售,22,226.0,18404,2005,洪山,3室2厅1厨2卫,高楼层 (共12层),122.8㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯三户,有,2021-05-04,商品房,2006-11-14,普通住宅,满五年,非共有,有抵押 6万元 建设银行 业主自还,已上传房本照片,20200722woBCJ,"VR房源,房本满五年,随时看房"
光谷满庭春精装两居室 高层看景 诚心出售,35,180.0,22515,2016,东湖高新,2室2厅1厨1卫,中楼层 (共34层),79.95㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,2021-05-05,商品房,2017-08-09,普通住宅,满两年,非共有,无抵押,已上传房本照片,20210506VjXi4,"VR房源,房本满两年,随时看房"
关山万科城花璟苑，三居两卫精装修婚房，随时可看,19,289.0,31376,2015,东湖高新,3室2厅1厨2卫,低楼层 (共34层),92.11㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,2021-05-01,商品房,2018-08-10,普通住宅,满两年,非共有,有抵押 53万元 客户偿还,已上传房本照片,20210503j6FZ6,"VR房源,房本满两年,随时看房"
此房已经满二，，南北通透，中高楼层、视野开阔,20,166.0,18544,2016,东湖高新,2室2厅1厨1卫,中楼层 (共30层),89.52㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,两梯四户,有,2021-05-08,商品房,2019-04-02,普通住宅,满两年,非共有,有抵押 20万元 建设银行 业主自还,已上传房本照片,20210509PjPoR,"VR看装修,房本满两年,随时看房"
万科魅力之城好房出售，拐角阳台，自住装修，保养好,6,200.0,24595,2011,东湖高新,3室2厅1厨1卫,高楼层 (共18层),81.32㎡,平层,61.44㎡,板楼,南,钢混结构,精装,两梯四户,有,2021-05-05,商品房,2014-10-11,普通住宅,满五年,非共有,无抵押,已上传房本照片,20210513aXoSh,"VR看装修,房本满五年,随时看房"
满二免增值税 看房方便  户型方正 诚心出售,4,148.0,15409,2017,硚口,3室1厅1厨1卫,低楼层 (共33层),96.05㎡,平层,暂无数据,板楼,东南,钢混结构,毛坯,两梯四户,有,2021-05-06,商品房,2018-09-13,普通住宅,满两年,共有,有抵押 50万元,已上传房本照片,20210509dPHti,"VR看装修,房本满两年,随时看房"
采光好 户型方正 视野好 通风条件好,7,51.99,5158,2009,新洲,3室2厅1厨1卫,高楼层 (共6层),100.8㎡,平层,90㎡,板塔结合,东南,框架结构,其他,一梯两户,无,2021-05-07,商品房,2017-05-10,普通住宅,满两年,非共有,无抵押,已上传房本照片,20210326S7mLw,"VR看装修,房本满两年,随时看房"
老证，房东自住装修，家私家电都是进口品牌，不临高架,10,166.0,19900,2014,汉阳,2室2厅1厨1卫,高楼层 (共33层),83.42㎡,平层,63.51㎡,板楼,南,钢混结构,精装,两梯四户,有,2021-05-24,商品房,2017-04-11,普通住宅,满两年,共有,有抵押 50万元,已上传房本照片,202005178owFQ,"VR看装修,房本满两年,随时看房"
